HET_ID
003
006
008
00F
00G
00H
00J
00P
00Y
014
015
016
018
019
01C
01I
01P
01T
01X
020
022
023
024
025
027
028
02B
02E
02H
02P
02S
02Z
032
039
03C
03G
03J
03K
03M
03O
03Q
03T
03U
03X
03Z
040
041
043
044
046
049
04B
04G
04K
04O
04T
04Y
04Z
052
053
054
056
057
05B
05C
05D
05F
05I
05J
05L
05Q
05R
05S
05X
05Y
05Z
061
062
066
067
068
06A
06B
06D
06E
06H
06I
06J
06M
06N
06P
06R
06T
06U
06V
06W
06X
06Z
070
071
077
078
07C
07F
07G
07H
07I
07J
07M
07N
07Q
07R
07S
07T
07U
07Z
082
083
085
087
08A
08B
08C
08D
08E
08G
08H
08J
08K
08N
08R
08S
08V
08Y
08Z
090
093
096
097
099
09C
09H
09J
09K
09L
09P
09Q
09R
09S
09T
09W
09Y
09Z
0A2
0AC
0AE
0AS
0AW
0AY
0B0
0B1
0B2
0B3
0B4
0B5
0B6
0B7
0B9
0BA
0BB
0BC
0BF
0BG
0BI
0BJ
0BK
0BL
0BQ
0BR
0BS
0BV
0BW
0BX
0BY
0BZ
0C0
0C1
0C2
0C3
0C4
0C5
0C6
0C7
0C8
0C9
0CC
0CG
0CH
0CI
0CJ
0CK
0CM
0CN
0CO
0CP
0CV
0CX
0CZ
0D1
0D2
0DF
0DI
0DJ
0E0
0E1
0EC
0EF
0EN
0ER
0EU
0EV
0EW
0EX
0EZ
0F0
0F1
0F2
0F5
0FG
0FO
0FR
0FS
0FV
0FY
0FZ
0GA
0GD
0GF
0GI
0GS
0GT
0GU
0GW
0GY
0H4
0H5
0H6
0H7
0H9
0HD
0HK
0HL
0HM
0HP
0HV
0HX
0I0
0I1
0I2
0I3
0I5
0I6
0IC
0IM
0IN
0IP
0J0
0J3
0J6
0J7
0J8
0J9
0JB
0JE
0JF
0JG
0JH
0JI
0JJ
0JK
0JL
0JN
0JP
0JQ
0JW
0JX
0JZ
0K0
0K1
0K2
0K6
0K7
0KA
0KB
0KC
0KD
0KF
0KG
0KH
0KI
0KK
0KM
0KN
0KP
0KQ
0KR
0KS
0KT
0KU
0KW
0KY
0L8
0L9
0LA
0LB
0LC
0LG
0LI
0LJ
0LK
0LL
0LM
0LN
0LQ
0LR
0LS
0LU
0LW
0LY
0LZ
0M1
0M2
0M3
0M4
0M5
0M6
0M7
0M8
0M9
0MB
0ME
0MH
0MJ
0ML
0MM
0MN
0MO
0MP
0MQ
0MS
0MT
0MV
0MW
0MX
0MY
0MZ
0N1
0N5
0N6
0N8
0NH
0NJ
0NK
0NL
0NN
0NQ
0NR
0NS
0NT
0NU
0NV
0NY
0O0
0O1
0O3
0O4
0O5
0O7
0OB
0OG
0OK
0OM
0OO
0OP
0OQ
0OT
0OU
0OV
0OW
0OX
0OY
0P2
0P4
0P5
0P8
0PC
0PF
0PL
0Q1
0Q2
0Q6
0QA
0QQ
0QR
0QV
0QW
0QX
0QY
0R8
0R9
0RA
0RD
0RF
0RK
0RO
0RR
0RS
0RT
0RU
0RV
0RX
0RY
0RZ
0S0
0S1
0S2
0S3
0S4
0S5
0S6
0S7
0S8
0S9
0SB
0SC
0SD
0SE
0SI
0SJ
0SK
0SL
0SO
0SQ
0SR
0ST
0SU
0SV
0SW
0SX
0SY
0SZ
0T0
0T3
0T4
0T5
0T6
0T7
0TA
0TB
0TE
0TJ
0TM
0TO
0TP
0TX
0TZ
0U0
0U3
0U5
0U6
0U7
0U9
0UA
0UC
0UD
0UI
0UJ
0UL
0UN
0UP
0UQ
0US
0UT
0UU
0UV
0UX
0V0
0V2
0V3
0V4
0V6
0V7
0V8
0VA
0VB
0VC
